Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,class_id
437.6,91.4,318.8,239.2,219.4,301.0,477.4,331.2,196.2,171.2,526.0,940.8,329.2,223.4,115.0,257.0,798.0,676.4,46.2,773.2,144.6,830.4,390.2,402.2,581.2,12
670.4,884.4,148.4,53.8,327.2,232.2,736.0,288.6,190.8,582.4,891.0,584.8,519.6,490.4,865.4,112.6,911.8,55.0,603.2,793.8,670.0,272.4,256.4,246.6,187.8,12
743.0,34.0,527.4,563.2,547.4,322.8,4.6,312.4,883.4,664.2,447.2,374.2,802.4,340.0,838.0,906.2,912.2,642.0,616.0,245.0,384.6,769.2,69.2,911.4,871.0,13
4.0,130.0,637.2,160.6,816.4,694.0,635.8,149.8,217.4,674.2,144.0,128.4,27.2,22.8,311.0,824.4,882.4,134.2,81.4,851.8,643.4,6.4,834.2,483.8,742.8,13
311.6,123.4,788.0,341.2,22.6,802.8,104.8,309.2,724.6,479.6,551.8,886.8,560.0,117.2,80.0,922.0,9.4,422.0,919.2,144.4,109.8,831.2,931.0,140.0,599.0,13
5.8,589.8,86.6,318.8,553.6,14.4,248.6,495.4,760.0,730.4,900.0,351.2,344.6,211.0,821.4,783.0,670.8,882.0,581.6,852.0,125.4,134.2,615.4,885.2,484.6,13
962.4,509.6,93.0,122.0,550.8,656.0,490.2,178.4,768.0,101.2,362.8,720.2,931.6,58.2,406.2,961.6,443.4,847.8,126.4,319.2,49.6,114.0,158.4,138.4,862.0,13
132.6,673.8,779.6,746.2,548.2,21.0,876.8,540.8,873.4,553.4,4.0,592.0,744.0,824.0,411.8,718.8,598.0,534.6,4.8,905.4,158.8,761.6,633.0,759.0,390.6,13
848.8,550.8,188.8,629.6,862.8,191.4,748.0,975.6,633.2,16.2,746.8,531.4,645.4,759.6,579.8,147.8,681.6,511.8,761.4,84.4,137.6,620.4,276.4,3.8,612.4,13
310.0,146.8,238.6,912.6,712.8,544.4,707.4,575.4,819.0,839.0,7.6,519.8,815.4,746.6,97.4,600.4,251.0,885.4,332.8,126.4,895.8,4.8,613.8,172.0,579.4,13
812.8,148.0,618.6,576.4,21.6,775.0,339.0,159.6,205.0,4.6,881.4,82.2,334.8,891.2,213.2,249.0,502.0,872.8,199.8,760.6,160.8,739.6,357.4,201.2,112.6,13
211.8,719.2,204.6,176.2,484.4,46.6,22.2,647.8,96.0,57.8,130.0,634.4,360.6,736.0,138.6,936.2,721.0,734.0,112.8,332.0,829.6,491.2,69.0,873.8,150.4,13
609.8,91.4,329.4,903.6,990.8,667.6,834.4,819.4,721.4,666.4,4.4,332.8,162.8,29.8,299.8,761.0,673.8,774.4,813.0,529.0,381.0,842.4,514.2,342.8,661.4,14
